#    MMo    logLLo  logTe     G   G_BP    G_RP
1.5686459008     0.89612  3.87723   2.4401   2.5579   2.2278
1.5779729652     0.90827  3.87845   2.4104   2.5263   2.2014
1.5873000296     0.92040  3.87962   2.3808   2.4949   2.1748
1.5966270940     0.93247  3.88074   2.3513   2.4636   2.1483
1.6059541583     0.94448  3.88180   2.3218   2.4325   2.1217
1.6152812227     0.95644  3.88283   2.2925   2.4015   2.0951
1.6246082871     0.96838  3.88381   2.2631   2.3706   2.0684
1.6339353515     0.98029  3.88475   2.2338   2.3397   2.0417
1.6432624159     0.99217  3.88565   2.2046   2.3090   2.0149
1.6525894802     1.00402  3.88651   2.1753   2.2784   1.9881
1.6619165446     1.01585  3.88732   2.1462   2.2478   1.9612
1.6712436090     1.02765  3.88809   2.1170   2.2174   1.9343
1.6805706734     1.03942  3.88881   2.0879   2.1871   1.9073
1.6898977378     1.05118  3.88949   2.0589   2.1569   1.8802
1.6992248021     1.06291  3.89012   2.0298   2.1268   1.8530
1.7085518665     1.07462  3.89071   2.0008   2.0968   1.8257
1.7178789309     1.08631  3.89126   1.9718   2.0668   1.7984
1.7272059953     1.09798  3.89176   1.9428   2.0369   1.7710
1.7365330597     1.10964  3.89220   1.9138   2.0071   1.7434
1.7458601240     1.12127  3.89259   1.8848   1.9773   1.7156
1.7551871884     1.13289  3.89291   1.8557   1.9477   1.6877
1.7645142528     1.14449  3.89317   1.8267   1.9181   1.6597
1.7738413172     1.15607  3.89337   1.7976   1.8885   1.6314
1.7831683816     1.16762  3.89349   1.7685   1.8591   1.6029
1.7924954459     1.17916  3.89354   1.7394   1.8297   1.5743
1.8018225103     1.19066  3.89352   1.7103   1.8004   1.5454
1.8111495747     1.20211  3.89345   1.6812   1.7712   1.5165
1.8204766391     1.21353  3.89329   1.6521   1.7421   1.4874
1.8298037034     1.22494  3.89305   1.6230   1.7132   1.4580
1.8391307678     1.23631  3.89272   1.5938   1.6843   1.4283
1.8484578322     1.24766  3.89228   1.5646   1.6555   1.3984
1.8577848966     1.25898  3.89175   1.5354   1.6268   1.3681
1.8671119610     1.27026  3.89111   1.5061   1.5983   1.3376
1.8764390253     1.28150  3.89035   1.4769   1.5699   1.3068
1.8857660897     1.29270  3.88945   1.4476   1.5418   1.2756
1.8950931541     1.30386  3.88843   1.4184   1.5138   1.2441
1.9044202185     1.31494  3.88729   1.3892   1.4862   1.2124
1.9137472829     1.32594  3.88602   1.3602   1.4589   1.1805
1.9230743472     1.33689  3.88458   1.3313   1.4319   1.1483
1.9324014116     1.34776  3.88298   1.3024   1.4053   1.1157
1.9417284760     1.35856  3.88120   1.2736   1.3789   1.0827
1.9510555404     1.36926  3.87922   1.2448   1.3528   1.0491
1.9603826048     1.37987  3.87702   1.2160   1.3271   1.0151
1.9697096691     1.39037  3.87459   1.1875   1.3021   0.9808
1.9790367335     1.40075  3.87192   1.1595   1.2781   0.9464
1.9883637979     1.41102  3.86900   1.1319   1.2548   0.9116
1.9976908623     1.42116  3.86579   1.1042   1.2319   0.8763
2.0070179266     1.43122  3.86239   1.0768   1.2095   0.8406
2.0163449910     1.44120  3.85877   1.0497   1.1880   0.8047
2.0256720554     1.45119  3.85493   1.0228   1.1672   0.7685
2.0349991198     1.46131  3.85096   0.9957   1.1463   0.7317
2.0443261842     1.47192  3.84711   0.9673   1.1240   0.6941
2.0536532485     1.48381  3.84385   0.9363   1.0981   0.6553
2.0629803129     1.49927  3.84262   0.8970   1.0607   0.6132
2.0632111242     1.49976  3.84265   0.8957   1.0594   0.6121
2.0634419354     1.50025  3.84269   0.8945   1.0581   0.6109
2.0636727467     1.50075  3.84273   0.8932   1.0567   0.6098
2.0639035579     1.50126  3.84278   0.8920   1.0554   0.6086
2.0641343691     1.50177  3.84283   0.8907   1.0540   0.6075
2.0643651804     1.50228  3.84288   0.8894   1.0526   0.6063
2.0645959916     1.50282  3.84294   0.8881   1.0512   0.6052
2.0648268029     1.50336  3.84301   0.8867   1.0497   0.6040
2.0650576141     1.50391  3.84309   0.8853   1.0482   0.6028
2.0652884254     1.50447  3.84316   0.8839   1.0467   0.6016
2.0655192366     1.50504  3.84325   0.8825   1.0451   0.6004
2.0657500478     1.50562  3.84334   0.8811   1.0435   0.5992
2.0659808591     1.50621  3.84345   0.8796   1.0418   0.5980
2.0662116703     1.50681  3.84355   0.8781   1.0401   0.5968
2.0664424816     1.50744  3.84367   0.8765   1.0384   0.5955
2.0666732928     1.50807  3.84380   0.8750   1.0366   0.5943
2.0669041041     1.50872  3.84393   0.8734   1.0347   0.5930
2.0671349153     1.50938  3.84408   0.8717   1.0328   0.5918
2.0673657265     1.51006  3.84423   0.8701   1.0309   0.5905
2.0675965378     1.51075  3.84440   0.8683   1.0289   0.5892
2.0678273490     1.51146  3.84458   0.8666   1.0268   0.5879
2.0680581603     1.51219  3.84477   0.8648   1.0247   0.5866
2.0682889715     1.51295  3.84497   0.8629   1.0225   0.5853
2.0685197828     1.51372  3.84519   0.8610   1.0202   0.5839
2.0687505940     1.51452  3.84542   0.8591   1.0179   0.5826
2.0689814052     1.51534  3.84567   0.8571   1.0155   0.5812
2.0692122165     1.51619  3.84593   0.8550   1.0130   0.5798
2.0694430277     1.51706  3.84621   0.8529   1.0104   0.5784
2.0696738390     1.51797  3.84651   0.8507   1.0077   0.5770
2.0699046502     1.51891  3.84684   0.8485   1.0049   0.5755
2.0701354615     1.51987  3.84718   0.8461   1.0020   0.5741
2.0703662727     1.52087  3.84754   0.8437   0.9990   0.5726
2.0705970839     1.52191  3.84794   0.8413   0.9959   0.5711
